Company,Country/Region,Tech type,TRL (2025),First plant size (t CO₂/yr),Funding round,Round date (YYYY-MM),Amount (USD M),Lead investor(s),Total funding to date (USD M),Public grants / DOE award (USD M),Policy incentives targeted,Offtake buyers,Credit price disclosed? (Y/N),Projected cost ($/t CO₂),Storage partner / site,Source link,"Data quality (1–Low, 3=High)",amount_original,round_class,Notes / gaps,Disclosed credit price ($/t),45Q eligible (Y/N),LCFS eligible (Y/N)
Global Thermostat,,,,,DOE Grant,2021-01-01,2.5,,,2.5,,,,,,https://www.energy.gov/fecm/articles/foa-2187-and-foa-2188-project-selections,3,"USD 2,499,996",,Primary DOE selection notice; amount in USD; grant value rounded to 2.5; no FX conversion required; no policy incentive tag.,,,
Global Thermostat,,,,,DOE Grant,2021-10-01,2.808243,,,2.808243,,,,,,https://netl.doe.gov/sites/default/files/netl-file/23CM_CDR31_Steutermann.pdf,3,"USD 2,808,243",,DOE project review PDF (primary); amount equals government share; no FX; award classified as grant.,,,
Global Thermostat,,,,,DOE CDR Purchase Pilot Prize – Phase 1,2024-06-01,,,,,DOE CDR Purchase Pilot Prize,,,,,https://www.prnewswire.com/news-releases/zero-carbon-systems-subsidiary-global-thermostat-wins-as-technology-provider-for-two-of-the-nine-direct-air-capture-awards-in-phase-i-of-the-us-department-of-energys-carbon-dioxide-removal-prize-302170946.html,3,undisclosed (eligible for up to USD 3 M),,"Phase-1 prize row, amount undisclosed",,,
Global Thermostat,,,,,Strategic investment (Tokyo Gas / Acario),2023-01-01,,Tokyo Gas (Acario Innovation),,,,,,,,https://acarioinnovation.com/investment-in-and-collaboration-with-global-thermostat-a-firm-with-leading-edge-direct-air-capture-technology/,3,undisclosed,,Press release; amount undisclosed.,,,
Carbon Engineering,,,,,Grant – Strategic Innovation Fund,2019-06-01,19.0,,,19.0,,,,,,...,3,CAD 25 M,,,,,
Carbon Engineering,,,,,Grant – UK GGR Phase 1,2021-05-01,0.354,,,0.354,,,,,,...,3,£0.25 M,,,,,
Carbon Engineering,,,,,Grant – NRCan Energy Innovation Program,2024-11-01,3.65,,,3.65,,,,,,...,3,CAD 5 M,,,,,
Heirloom,,,,,Prize – XPRIZE Carbon Removal Milestone Award,2022-04-01,1.0,,,1.0,,,,,,...,3,USD 1 M,,,,,
Heirloom,,,,,Offtake – Frontier buyers,2023-11-01,26.6,,,,,,,,,...,3,USD 26.6 M,,,,,
Heirloom,,,,,DOE Grant – DAC Hub (Project Cypress),2024-03-01,50.0,,,50.0,DAC Hub,,,,,...,3,USD 50 M,,,,,
Heirloom,,,,,Strategic Investment – United Airlines Ventures Sustainable Flight Fund,2025-02-01,,United Airlines Ventures Sustainable Flight Fund,,,,,,,,...,2,undisclosed,,,,,
Climeworks,,,,,Series B,2018-08-01,30.8,Zurich Cantonal Bank,,,,,,,,...,3,CHF 30.5 M,,,,,
Climeworks,,,,,Series C,2020-09-01,110.0,Undisclosed private investors,,,,,,,,...,3,CHF 100 M,,,,,
Climeworks,,,,,DOE Grant – DAC Hub,2024-03-01,50.0,,,50.0,DAC Hub,,,,,...,3,USD 50 M,,,,,
Climeworks,,,,,Enova Grant,2024-04-01,2.4,,,2.4,,,,,,...,3,CHF 2.2 M,,,,,
Carbyon,,,,,Seed,2022-01-01,7.35,Invest‑NL;Brabant Development Agency;Innovation Industries;Lowercarbon Capital,,,,,,,,...,3,€7 M,,,,,
Carbyon,,,,,XPRIZE Carbon Removal Milestone Prize,2022-05-01,1.0,,,1.0,,,,,,...,3,USD 1 M,,,,,
Carbyon,,,,,Strategic equity investment (Series A extension),2025-07-01,,ISAI Build Venture;Bouygues,,,,,,,,...,3,undisclosed,,,,,
Carbyon,,,,,DEI+ subsidy,2025-07-01,,,,,DEI+,,,,,...,3,undisclosed,,,,,
Verdox,,,,,XPRIZE Carbon Removal Milestone Prize,2022-04-01,1.0,,,1.0,,,,,,...,3,USD 1 M,,,,,
Verdox,,,,,DOE SBIR Phase I Grant,2020-06-01,0.25,,,0.25,,,,,,...,3,"USD 250,000",,,,,
